Company Name,Industry,Listing Date,Current Price,Price Change (%),Offering Price,Change from Offering Price (%),Opening Price,Opening/Offering (%),First Day Closing Price,Financial Date,Annual Data,Operating Profit Margin,ROE,Debt Ratio,Quick Ratio,EPS,Competition Rate,Interest Rate,y
토마토시스템,소프트웨어,2023-04-27,5070.0,-2.69,18200.0,-72.14,18100.0,-0.55,14650.0,2022.12,V,27.53,59.0,36.07,315.38,385.0,266.16,3.5,-19.505494505494507
에스바이오메딕스,바이오테크놀로지,2023-05-04,19910.0,-4.74,18000.0,10.61,23150.0,28.61,18830.0,2022.12,V,-30.94,997.79,2253.35,72.9,-619.0,994.8,3.5,4.611111111111111
트루엔,전자 장비 및 기기,2023-05-17,9440.0,-2.88,12000.0,-21.33,19340.0,61.17,17200.0,2022.12,V,23.2,16.23,7.8,496.46,906.0,1481.83,3.5,43.333333333333336
씨유박스,소프트웨어,2023-05-19,3085.0,-2.83,15000.0,-79.43,15680.0,4.53,13920.0,2022.12,V,-37.71,-130.25,813.46,73.76,-972.0,53.06,3.5,-7.199999999999999
모니터랩,소프트웨어,2023-05-19,3665.0,-3.81,9800.0,-62.6,19600.0,100.0,14200.0,2022.12,V,8.03,8.88,54.82,628.98,72.0,1785.11,3.5,44.89795918367347
기가비스,소프트웨어,2023-05-24,24550.0,-5.94,43000.0,-42.91,71200.0,65.58,79000.0,2022.12,V,33.92,34.36,40.94,258.42,2633.0,823.74,3.5,83.72093023255815
진영(구.진영엘디엠),전자 장비 및 기기,2023-06-01,2365.0,-3.07,5000.0,-52.7,10000.0,100.0,8680.0,2022.12,V,13.4,27.69,121.76,62.52,405.0,1452.49,3.5,73.6
나라셀라,음료,2023-06-02,3010.0,-3.99,20000.0,-84.95,19500.0,-2.5,17500.0,2022.12,V,11.16,0.18,146.76,97.14,964.0,4.84,3.5,-12.5
큐라티스,바이오테크놀로지,2023-06-15,698.0,-4.64,4000.0,-82.55,4500.0,12.5,5850.0,2022.12,V,-255.45,427.45,-356.63,16.55,-1404.0,155.8,3.5,46.25
시큐센,소프트웨어,2023-06-29,1981.0,-3.37,3000.0,-33.97,8940.0,198.0,9150.0,2022.12,V,5.5,31.76,128.6,119.11,233.0,1355.6,3.5,204.99999999999997
알멕,기계,2023-06-30,25600.0,-4.48,50000.0,-48.8,145400.0,190.8,99500.0,2022.12,V,7.19,9.43,203.71,118.74,1143.0,1932.1,3.5,99.0
오픈놀,소프트웨어,2023-06-30,4350.0,-2.03,10000.0,-56.5,13000.0,30.0,15750.0,2022.12,V,4.21,-4.57,44.45,315.15,-66.0,49.04,3.5,57.49999999999999
이노시뮬레이션,소프트웨어,2023-07-06,4750.0,0.21,15000.0,-68.33,44850.0,199.0,35000.0,2022.12,V,-10.64,-40.45,190.62,38.7,-703.0,2113.78,3.5,133.33333333333331
필에너지,에너지,2023-07-14,13260.0,-6.69,34000.0,-61.0,122600.0,260.59,114600.0,2022.12,V,8.86,1.0,471.04,68.14,248.0,1318.0,3.5,237.05882352941177
센서뷰,전자 장비 및 기기,2023-07-19,1495.0,-7.72,4500.0,-66.78,12700.0,182.22,6830.0,2022.12,V,-279.48,726.89,86.07,145.34,-545.0,1917.16,3.5,51.77777777777778
뷰티스킨,화장품,2023-07-24,10740.0,-3.68,26000.0,-58.69,54500.0,109.62,32600.0,2022.12,V,6.87,10.82,99.36,69.32,939.0,2316.13,3.5,25.384615384615383
버넥트,소프트웨어,2023-07-26,2895.0,-2.53,16000.0,-81.91,23600.0,47.5,11700.0,2022.12,V,-279.69,-0.36,61.88,151.05,-1617.0,90.47,3.5,-26.875
파로스아이바이오,바이오테크놀로지,2023-07-27,8320.0,-3.59,14000.0,-40.57,12330.0,-11.93,8730.0,2022.12,V,-14747.27,88.36,-153.7,31.27,-2880.0,347.44,3.5,-37.642857142857146
에이엘티,반도체 및 관련 장비,2023-07-27,6260.0,-5.01,25000.0,-74.96,31600.0,26.4,22550.0,2022.12,V,18.11,24.0,165.14,16.98,1955.0,1311.65,3.5,-9.8
시지트로닉스,전자 장비 및 기기,2023-08-03,4970.0,-1.39,25000.0,-80.12,26350.0,5.4,23100.0,2022.12,V,-33.38,-31.52,114.93,55.61,-1221.0,918.61,3.5,-7.6
엠아이큐브솔루션,소프트웨어,2023-08-04,7230.0,-5.24,12000.0,-39.75,36900.0,207.5,26700.0,2022.12,V,12.68,74.09,119.23,160.76,778.0,1695.11,3.5,122.50000000000001
